firmware	vendor	partition_hash	default_mac_base	default_mac_size	serial_number_base	serial_number_size	product_info_base	product_info_size
CPE210_1.1-up-ver2-1-0-P3[20170609-rel57433].bin	CPE210(TP-LINK|UN|N300-2):1.1	def4cce79e014387ac0bef96855e0e2f	0x30000	0x00020			0x31100	0x00100
CPE210_2.0-up-ver2-1-6-P1[20170908-rel45234].bin	CPE210(TP-LINK|UN|N300-2|00000000):2.0	def4cce79e014387ac0bef96855e0e2f	0x30000	0x00020			0x31100	0x00100
CPE210(UN)_2.0-up-ver2-1-11-P1[20180117-rel69037].bin	CPE210(TP-LINK|UN|N300-2|00000000):2.0	def4cce79e014387ac0bef96855e0e2f	0x30000	0x00020			0x31100	0x00100
CPE210(UN)_2.0-up-ver2-1-14-P1[20180928-rel31336].bin	CPE210(TP-LINK|UN|N300-2|00000000):2.0	def4cce79e014387ac0bef96855e0e2f	0x30000	0x00020			0x31100	0x00100
CPE210(UN)_2.0-up-ver2-2-2-P1[20200612-rel53582].bin	CPE210(TP-LINK|UN|N300-2|00000000):2.0	86d2f3dbdbd64373584c702ee77b9991	0x30000	0x00020	0x30100	0x00020	0x31100	0x00100
CPE210(UN)_2.0-up-ver2-2-3-P1[20201110-rel66916].bin	CPE210(TP-LINK|UN|N300-2|00000000):2.0	86d2f3dbdbd64373584c702ee77b9991	0x30000	0x00020	0x30100	0x00020	0x31100	0x00100
CPE210(US)_2.0-up-ver2-2-1-P1[20190620-rel61487].bin	CPE210(TP-LINK|UN|N300-2|00000000):2.0	86d2f3dbdbd64373584c702ee77b9991	0x30000	0x00020	0x30100	0x00020	0x31100	0x00100
CPE210(UN)_3.0-up-ver2-2-0-P9[20190125-rel36261].bin	CPE210(TP-LINK|UN|N300-2|00000000):3.0	86d2f3dbdbd64373584c702ee77b9991	0x30000	0x00020	0x30100	0x00020	0x31100	0x00100
CPE210(UN)_3.0-up-ver2-2-1-P1[20190620-rel61499].bin	CPE210(TP-LINK|UN|N300-2|00000000):3.0	86d2f3dbdbd64373584c702ee77b9991	0x30000	0x00020	0x30100	0x00020	0x31100	0x00100
CPE210(UN)_3.0-up-ver2-2-2-P1[20200612-rel41700].bin	CPE210(TP-LINK|UN|N300-2|00000000):3.0	86d2f3dbdbd64373584c702ee77b9991	0x30000	0x00020	0x30100	0x00020	0x31100	0x00100
